ID_Barang,Nama_Spesifikasi,Kategori,Jumlah,Satuan,Kondisi,Lokasi,Terakhir_Update,Catatan
COMP-145,Trafo 6 Kaki,Transformator,1,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-146,Trafo 4 Kaki,Transformator,1,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-147,Filter AC,Modul Elektronik,3,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-148,Filter AC,Modul Elektronik,1,pcs,Rusak,Laci / Box Bening,2026-07-11,
COMP-149,Relay 5 Pin,Modul Elektronik,3,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-150,Induktor,Komponen Pasif,2,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-151,SMPS 12V,Power Supply,1,pcs,Rusak,Laci / Box Bening,2026-07-11,
COMP-152,Trafo 6 Kaki,Transformator,1,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-153,Joule Thief Modul,Modul Elektronik,1,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-154,Modul LED Strip 12V,Modul Elektronik,1,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-155,V/A Meter,Layar & Alat Ukur,1,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-156,LED Hijau 24V,Lampu & Indikator,1,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-157,LED Biru 24V,Lampu & Indikator,1,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-158,Smart Switch,Sakelar,1,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-159,Capit Buaya Besar,Konektor/Kabel,2,set,Normal,Laci / Box Bening,2026-07-11,
COMP-160,Baterai Holder,Aksesoris,5,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-161,LED Panel 12V,Lampu & Indikator,1,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-162,PCB Bolong,Alat Kerja,1,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-163,Skun Ring 5mm,Konektor,1,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-164,Timah,Alat Kerja,2,rol,Masih Panjang,Laci / Box Bening,2026-07-11,
COMP-165,LED 5mm Hijau,Lampu & Indikator,5,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-166,LED 5mm Biru,Lampu & Indikator,10,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-167,Kontak Baterai,Aksesoris,3,set,Normal,Laci / Box Bening,2026-07-11,
COMP-168,Konektor Baterai,Aksesoris,2,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-169,Soket 2 Pin Female,Konektor,3,set,Normal,Laci / Box Bening,2026-07-11,
COMP-170,Soket Jack 3.5mm Female,Konektor,5,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-171,Sakelar AC,Sakelar,1,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-172,Soket Female 3 Pin,Konektor,1,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-173,Kawat Nilon,Alat Kerja,1,meter,Normal,Laci / Box Bening,2026-07-11,
COMP-174,Skun Gepeng,Konektor,3,set,Normal,Laci / Box Bening,2026-07-11,
COMP-175,Terminal Block,Konektor,5,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-176,Banana Plug Male,Konektor,3,set,Normal,Laci / Box Bening,2026-07-11,
COMP-177,BMS 10A,Modul Elektronik,1,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-178,TP4056 Modul Charger,Modul Elektronik,1,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-179,Buck Converter USB,Modul Elektronik,1,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-180,Crystal Oscillator,Komponen Pasif,1,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-181,Kabel Bintik Merah,Kabel,2,meter,Normal,Laci / Box Bening,2026-07-11,
COMP-182,Kabel Bintik Hitam,Kabel,2,meter,Normal,Laci / Box Bening,2026-07-11,
COMP-183,Kabel Jumper Male-Female,Kabel,23,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-184,Kabel Jumper Male-Male,Kabel,5,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-185,Kabel Jumper Female-Female,Kabel,16,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-186,Kabel Jumper Male,Kabel,5,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-187,Kabel Jumper Female,Kabel,19,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-188,Soket 3 Pin Male,Konektor,2,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-189,Soket 2 Pin Male,Konektor,2,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-190,Kabel Capit Buaya,Kabel,2,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-191,Kabel Daya AC,Kabel,1,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-192,Kabel Jack DC Female/Male,Kabel/Konektor,1,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-193,Trafo 10V 2A,Transformator,1,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-194,Trafo 1A Non CT,Transformator,1,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-195,Modul Power Bank,Modul Elektronik,1,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-196,Modul Ampli Cabutan,Modul Elektronik,1,pcs,Rusak,Laci / Box Bening,2026-07-11,
COMP-197,SMPS 12V,Power Supply,1,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-198,Charger Laptop,Power Supply,3,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-199,Kabel Capit Buaya Besar,Kabel,2,set,Normal,Laci / Box Bening,2026-07-11,
COMP-200,Charger Baterai 18650,Power Supply,1,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-201,Kapasitor Mesin Cuci,Kapasitor,1,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-202,Amperemeter,Layar & Alat Ukur,2,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-203,Voltmeter,Layar & Alat Ukur,1,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-204,Buck Boost Converter,Modul Elektronik,1,pcs,Salah Beli,Laci / Box Bening,2026-07-11,
COMP-205,Modul Cas Aki,Modul Elektronik,1,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-206,Relay 5V,Modul Elektronik,1,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-207,Mini Step Up,Modul Elektronik,1,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-208,Step Up XL 6009,Modul Elektronik,1,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-209,Knop Potensio,Aksesoris,2,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-210,Kabel PSU 3 Bolong,Kabel,2,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-211,Kabel PSU 2 Bolong,Kabel,2,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-212,Modul XH-M229,Modul Elektronik,1,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-213,PSU 500W,Power Supply,1,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-214,Jack DC Female & Male,Konektor,1,set,Normal,Laci / Box Bening,2026-07-11,
COMP-215,Modul Pembaca CD Cabutan,Modul Elektronik,1,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-216,Binding Post Female,Konektor,1,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-217,Buck Boost Converter,Modul Elektronik,1,pcs,Rusak,Laci / Box Bening,2026-07-11,
COMP-218,Range Extender TP-Link TL-WA850RE,Elektronik Jadi,1,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-219,Dioda Cabutan,Semikonduktor,1,lot,Random,Laci / Box Bening,2026-07-11,
COMP-220,Bor Mini 5V,Alat Kerja,1,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-221,Gurinda Mini 12V,Alat Kerja,1,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-222,Jam Meja Digital Casio,Elektronik Jadi,1,pcs,Sudah Lemah,Laci / Box Bening,2026-07-11,
COMP-223,Botol Sampel 5ml,Aksesoris,50,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-224,Controller Panel Surya,Modul Elektronik,1,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-225,LED HPL 5W,Lampu & Indikator,2,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-226,2.4 TFT LCD Shield,Layar & Alat Ukur,1,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-227,MAX7219 Dot Matrix,Layar & Alat Ukur,1,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-228,LED Strip WS2812B,Lampu & Indikator,1,meter,Normal,Laci / Box Bening,2026-07-11,
COMP-229,Remot LED RGB 12V,Aksesoris,1,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-230,Baterai 3.7V 420mAh,Baterai & Daya,1,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-231,ESP8266,Mikrokontroler,1,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-232,Wemos D1 Mini,Mikrokontroler,1,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-233,ESP32-S3,Mikrokontroler,1,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-234,Breadboard,Alat Kerja,1,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-235,Sensor pH,Sensor,1,pcs,Rusak/Normal,Laci / Box Bening,2026-07-11,
COMP-236,Relay 5V 4-Channel,Modul Elektronik,1,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-237,Turbidity Sensor,Sensor,1,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-238,Sensor MQ-135,Sensor,1,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-239,PCB Bolong,Alat Kerja,1,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-240,LED RGB Kedap-Kedip,Lampu & Indikator,1,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-241,Modul Keyboard Mini,Modul Elektronik,1,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-242,Speaker 3W,Modul Elektronik,1,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-243,RTC DS3231 Mini,Sensor,1,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-244,LED Cabutan Senter 5V,Lampu & Indikator,1,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-245,Arduino Nano,Mikrokontroler,1,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-246,LCD 1602 Hijau,Layar & Alat Ukur,1,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-247,LCD 1602 Biru,Layar & Alat Ukur,1,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-248,Modul Power Bank,Modul Elektronik,1,pcs,Rusak,Laci / Box Bening,2026-07-11,
COMP-249,Push Button,Sakelar,1,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-250,Capit Buaya,Kabel/Konektor,1,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-251,Step Up Modul,Modul Elektronik,2,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-252,Modul MP3 Player,Modul Elektronik,1,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-253,Modul PSU Breadboard,Modul Elektronik,1,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-254,Selotip Bening Kecil & Lebar,Alat Kerja,1,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-255,Isolasi Kertas,Alat Kerja,2,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-256,Double Tape Merah (Abang),Alat Kerja,1,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-257,Double Tape Busa (Lebar & Kecil),Alat Kerja,1,pcs,Normal,Laci / Box Bening,2026-07-11,
Test,Resistor,Sensors,4,pcs,Good,Drawer A-1,2026-07-11,-
COMP-258,Test Item,Microcontrollers,5,pcs,Good,Drawer A-1,2026-07-11,-
